,id,fisherman_id,fishing_location,status,Avg Temp,delivered_location,delivered,rejected
0,6785104,B3823,Ashkara,Delivered,-8.18,Nesto,yes,
0,9540327,B123123,Salalah,Delivered,-4.18,Nesto,yes,
0,4798551,B8323,Suhar,Central Market,-2.43,Faiha,,
0,4455866,B8323,Salalah,Central Market,-4.22,Lulu,,
0,6436630,B8323,Salalah,Delivered,-6.44,Nesto,yes,
0,7808017,B23823,Ashkara,Central Market,-7.74,Nesto,,
0,5122062,B23823,Duqum,Delivered,-7.51,Lulu,yes,
0,6193279,B12312,Duqum,Delivered,-0.97,Lulu,yes,
0,2576855,B23823,Salalah,Central Market,-0.03,Nesto,,
0,3626372,B23823,Ashkara,Delivered,-7.59,Lulu,yes,
0,2507639,B123123,Ashkara,Central Market,-9.16,Lulu,,
0,9611536,B8323,Duqum,Central Market,-3.52,Lulu,,
0,4659427,B123123,Suhar,Central Market,-4.48,Nesto,,
0,8636722,B8323,Duqum,Delivered,-4.84,Lulu,yes,
0,3756961,B328423,Duqum,Delivered,-1.25,Lulu,yes,
0,8691448,B328423,Salalah,Delivered,-9.17,Nesto,yes,
0,6832207,B8323,Ashkara,Delivered,-7.52,Lulu,yes,
0,9903208,B8323,Masira,Delivered,-0.91,Lulu,yes,
0,4302072,B384211,Muscat,Central Market,-5.05,Lulu,,
0,8544471,B12312,Duqum,Central Market,-7.86,Lulu,,
0,5765379,B8323,Sur,Delivered,-4.46,Lulu,yes,
0,2553124,B23823,Salalah,Central Market,-3.7,Lulu,,
0,3339043,B8323,Ashkara,Central Market,-7.48,Lulu,,
0,5399275,B12312,Duqum,Central Market,-5.82,Nesto,,
0,6823096,B23823,Ashkara,Central Market,-7.17,Lulu,,
0,7355445,B23823,Salalah,Delivered,-4.25,Lulu,yes,
0,4491268,B23823,Salalah,Delivered,-4.75,Lulu,yes,
0,7641251,B384211,Ashkara,Delivered,-0.18,Lulu,yes,
0,4084779,B8323,Ashkara,Delivered,-9.48,Lulu,yes,
0,6600042,B12312,Salalah,Central Market,-6.94,Lulu,,
0,3791516,B8323,Muscat,Central Market,-4.92,Lulu,,
0,2184130,B3823,Muscat,Central Market,-3.03,Lulu,,
0,3485458,B123123,Sur,Central Market,-5.2,Lulu,,
0,2483037,B23823,Salalah,Delivered,-7.94,Lulu,yes,
0,6770522,B123123,Duqum,Central Market,-8.29,Lulu,,
0,1103986,B123123,Salalah,Central Market,-5.16,Lulu,,
0,6594404,B8323,Ashkara,Delivered,-6.31,Faiha,yes,
0,3401301,B8323,Suhar,Central Market,-4.63,Nesto,,
0,9482536,B123123,Duqum,First Truck,-8.76,Nesto,,
0,1012586,B23823,Suhar,Delivered,-1.79,Nesto,yes,
0,5872669,B23823,Duqum,Delivered,-5.91,Nesto,yes,
0,6748840,B123123,Salalah,Central Market,-0.67,Nesto,,
0,3174778,B123123,Ashkara,Central Market,-9.24,Nesto,,
0,9065453,B23823,Salalah,Delivered,-6.19,Nesto,yes,
0,1908791,B23823,Suhar,On Route,-3.57,Nesto,,
0,6292468,B23823,Suhar,Central Market,-1.69,Lulu,,
0,4593357,B23823,Muscat,Central Market,-1.15,Nesto,,
0,4944252,B123123,Suhar,Central Market,-7.51,Faiha,,
0,1789189,B23823,Suhar,Delivered,-9.55,Nesto,yes,
0,7058126,B8323,Sur,Delivered,-1.09,Lulu,yes,
0,8121474,B123123,Duqum,Central Market,-7.96,Nesto,,
0,1775184,B123123,Ashkara,Delivered,-7.73,Lulu,yes,
0,2498734,B328423,Ashkara,Central Market,-6.23,Nesto,,
0,6987992,B123123,Salalah,Central Market,-5.53,Lulu,,
0,7281846,B8323,Ashkara,Central Market,-4.86,Lulu,,
0,9779250,B384211,Duqum,Central Market,-4.83,Lulu,,
0,4430574,B23823,Muscat,Central Market,-3.14,Lulu,,
0,7015390,B8323,Suhar,Central Market,-0.64,Lulu,,
0,2817269,B23823,Ashkara,Central Market,-9.76,Lulu,,
0,4967222,B23823,Suhar,Delivered,-6.89,Lulu,yes,
0,8688659,B8323,Duqum,Delivered,-2.12,Lulu,yes,
0,4529167,B8323,Salalah,Delivered,-2.45,Lulu,yes,
0,7400746,B23823,Duqum,Central Market,-0.22,Lulu,,
0,3778893,B23823,Salalah,Central Market,-8.96,Nesto,,
0,7534312,B8323,Duqum,Rejected,-5.42,Lulu,,yes
0,9234613,B23823,Duqum,First Truck,-5.97,Lulu,,
0,5147618,B123123,Ashkara,Delivered,-7.88,Lulu,yes,
0,1549754,B23823,Ashkara,Delivered,-7.8,Faiha,yes,
0,2019025,B3823,Ashkara,Delivered,-6.22,Nesto,yes,
0,4534729,B123123,Duqum,Central Market,-4.48,Lulu,,
0,6569657,B123123,Salalah,Delivered,-2.99,Lulu,yes,
0,5846947,B23823,Salalah,Delivered,-3.78,Lulu,yes,
0,5049079,B23823,Ashkara,Central Market,-5.43,Nesto,,
0,5142528,B123123,Ashkara,Delivered,-8.49,Lulu,yes,
0,9318904,B8323,Ashkara,First Truck,-5.3,Lulu,,
0,1990096,B12312,Duqum,Delivered,-2.06,Lulu,yes,
0,4817212,B123123,Duqum,Delivered,-7.28,Nesto,yes,
0,3570043,B8323,Masira,Delivered,-5.8,Nesto,yes,
0,3227324,B23823,Ashkara,Central Market,-8.73,Lulu,,
0,4801750,B12312,Ashkara,Delivered,-6.95,Lulu,yes,
0,8119123,B123123,Ashkara,Central Market,-2.97,Lulu,,
0,9791289,B123123,Ashkara,Delivered,-7.07,Faiha,yes,
0,8542374,B23823,Muscat,Central Market,-8.98,Lulu,,
0,3685605,B328423,Duqum,On Route,-4.9,Lulu,,
0,1319837,B8323,Muscat,Central Market,-4.93,Lulu,,
0,7649899,B328423,Ashkara,Central Market,-6.36,Lulu,,
0,1525368,B384211,Duqum,Delivered,-0.63,Lulu,yes,
0,9655549,B123123,Duqum,Central Market,-6.09,Lulu,,
0,4846883,B8323,Suhar,Delivered,-0.76,Nesto,yes,
0,3106914,B23823,Salalah,Delivered,-7.48,Lulu,yes,
0,6264610,B8323,Ashkara,Central Market,-5.8,Nesto,,
0,6664059,B23823,Ashkara,Delivered,-9.47,Lulu,yes,
0,3097657,B123123,Salalah,Delivered,-7.09,Lulu,yes,
0,1870542,B8323,Salalah,Central Market,-0.82,Lulu,,
0,4455671,B8323,Salalah,First Truck,-3.08,Lulu,,
0,8779067,B23823,Duqum,Delivered,-8.24,Lulu,yes,
0,2777512,B123123,Duqum,Central Market,-0.67,Lulu,,
0,2856164,B123123,Duqum,Delivered,-4.7,Lulu,yes,
0,4551777,B23823,Duqum,Central Market,-1.7,Nesto,,
0,9479547,B123123,Suhar,Delivered,-6.76,Nesto,yes,
0,1671614,B3823,Salalah,Delivered,-4.29,Lulu,yes,
0,4237084,B23823,Duqum,Central Market,-8.44,Nesto,,
0,9906146,B8323,Salalah,Central Market,-7.77,Lulu,,
0,7878523,B123123,Salalah,Central Market,-6.53,Nesto,,
0,3664241,B23823,Ashkara,Delivered,-1.13,Lulu,yes,
0,4107919,B3823,Duqum,Delivered,-5.27,Lulu,yes,
0,8699283,B8323,Suhar,Delivered,-8.05,Lulu,yes,
0,4165495,B123123,Suhar,Central Market,-6.26,Lulu,,
0,5163631,B328423,Ashkara,Central Market,-8.82,Nesto,,
0,4460207,B8323,Salalah,Delivered,-2.35,Lulu,yes,
0,4534345,B8323,Ashkara,Delivered,-6.56,Nesto,yes,
0,9555178,B8323,Suhar,Central Market,-8.76,Lulu,,
0,2675349,B123123,Ashkara,Delivered,-3.69,Lulu,yes,
0,7407261,B23823,Salalah,Delivered,-7.85,Nesto,yes,
0,6029580,B12312,Duqum,Delivered,-4.52,Lulu,yes,
0,2016193,B8323,Suhar,Delivered,-7.49,Lulu,yes,
0,3194682,B23823,Suhar,Delivered,-9.36,Lulu,yes,
0,2531006,B123123,Salalah,Central Market,-2.31,Lulu,,
0,6074021,B8323,Ashkara,Delivered,-7.88,Lulu,yes,
0,6341037,B23823,Salalah,Delivered,-5.03,Lulu,yes,
0,4146641,B123123,Duqum,Central Market,-1.92,Nesto,,
0,8181443,B328423,Duqum,Delivered,-8.7,Lulu,yes,
0,5507464,B8323,Suhar,Delivered,-3.39,Lulu,yes,
0,9892493,B123123,Duqum,Central Market,-5.68,Nesto,,
0,3374293,B12312,Ashkara,Delivered,-8.28,Nesto,yes,
0,9414072,B123123,Duqum,Delivered,-6.21,Lulu,yes,
0,4217870,B328423,Salalah,Central Market,-2.04,Lulu,,
0,9485906,B23823,Duqum,Delivered,-5.9,Lulu,yes,
0,8019960,B123123,Masira,Central Market,-1.34,Lulu,,
0,3869016,B12312,Ashkara,Central Market,-1.73,Lulu,,
0,2605134,B8323,Masira,Delivered,-7.77,Lulu,yes,
0,9697664,B8323,Sur,Delivered,-7.65,Lulu,yes,
0,6342611,B23823,Ashkara,Delivered,-4.88,Lulu,yes,
0,3671629,B8323,Suhar,Central Market,-9.94,Nesto,,
0,9895878,B23823,Suhar,Delivered,-8.56,Lulu,yes,
0,6678132,B384211,Duqum,Delivered,-2.27,Lulu,yes,
0,3955049,B23823,Ashkara,Central Market,-0.01,Lulu,,
0,2454898,B123123,Suhar,Central Market,-1.3,Lulu,,
0,4192654,B3823,Ashkara,Central Market,-9.26,Lulu,,
0,3513675,B8323,Ashkara,Delivered,-5.74,Lulu,yes,
0,1451406,B8323,Ashkara,Central Market,-0.6,Nesto,,
0,7923814,B12312,Suhar,Central Market,-2.19,Lulu,,
0,8520761,B23823,Suhar,Delivered,-6.37,Lulu,yes,
0,5809404,B8323,Duqum,Central Market,-7.51,Nesto,,
0,3508249,B123123,Ashkara,Delivered,-8.13,Nesto,yes,
0,6494571,B8323,Salalah,Delivered,-1.06,Lulu,yes,
0,5018649,B23823,Duqum,Delivered,-1.51,Lulu,yes,
0,1516283,B384211,Duqum,Delivered,-7.62,Nesto,yes,
0,4477042,B8323,Suhar,Central Market,-4.42,Lulu,,
0,1513337,B23823,Ashkara,Central Market,-9.58,Nesto,,
0,8137035,B23823,Duqum,Central Market,-1.26,Faiha,,
0,7310791,B8323,Suhar,Central Market,-5.64,Nesto,,
0,2253539,B23823,Suhar,Delivered,-9.9,Nesto,yes,
0,7604011,B8323,Ashkara,Central Market,-1.52,Nesto,,
0,6917533,B23823,Suhar,Central Market,-0.65,Lulu,,
0,5407491,B23823,Salalah,Central Market,-2.13,Lulu,,
0,8608821,B23823,Duqum,Delivered,-3.69,Nesto,yes,
0,9428971,B328423,Masira,Central Market,-5.54,Nesto,,
0,6035096,B23823,Duqum,Central Market,-0.62,Lulu,,
0,1040761,B8323,Ashkara,Central Market,-9.34,Nesto,,
0,8815161,B23823,Salalah,Central Market,-4.63,Lulu,,
0,5441906,B8323,Ashkara,Central Market,-5.19,Nesto,,
0,7679534,B8323,Ashkara,Central Market,-6.9,Nesto,,
0,3475599,B384211,Duqum,Central Market,-9.18,Nesto,,
0,2465303,B8323,Salalah,Delivered,-7.79,Lulu,yes,
0,1065790,B23823,Duqum,Central Market,-9.72,Lulu,,
0,4878652,B123123,Suhar,Central Market,-3.78,Lulu,,
0,3345004,B123123,Duqum,Delivered,-7.74,Lulu,yes,
0,5856233,B8323,Suhar,Delivered,-6.16,Lulu,yes,
0,3114659,B12312,Masira,Delivered,-1.25,Nesto,yes,
0,8778348,B123123,Suhar,Delivered,-4.78,Lulu,yes,
0,5349377,B23823,Suhar,Central Market,-8.23,Lulu,,
0,4972782,B123123,Duqum,Central Market,-9.67,Lulu,,
0,3233948,B8323,Salalah,Central Market,-0.69,Lulu,,
0,4706037,B23823,Duqum,Delivered,-8.18,Nesto,yes,
0,3013431,B23823,Ashkara,Central Market,-7.46,Faiha,,
0,7016298,B123123,Duqum,Central Market,-9.5,Lulu,,
0,1294939,B23823,Duqum,Delivered,-9.63,Lulu,yes,
0,4256601,B8323,Duqum,Central Market,-3.85,Lulu,,
0,8667542,B123123,Masira,Central Market,-2.56,Lulu,,
0,6253159,B8323,Duqum,Central Market,-1.41,Nesto,,
0,6196901,B123123,Ashkara,First Truck,-7.84,Lulu,,
0,4270424,B8323,Salalah,Delivered,-9.27,Lulu,yes,
0,6980173,B23823,Duqum,Central Market,-9.27,Nesto,,
0,4917700,B3823,Ashkara,Central Market,-9.6,Lulu,,
0,4356450,B23823,Suhar,Central Market,-5.87,Lulu,,
0,1621953,B23823,Masira,Delivered,-0.7,Nesto,yes,
0,7513444,B8323,Ashkara,Delivered,-9.53,Lulu,yes,
0,8518154,B8323,Duqum,Delivered,-7.22,Lulu,yes,
0,8150788,B328423,Duqum,Delivered,-9.33,Lulu,yes,
0,3682559,B23823,Ashkara,Delivered,-4.59,Nesto,yes,
0,1580500,B23823,Duqum,Delivered,-8.18,Lulu,yes,
0,2608386,B123123,Salalah,Central Market,-6.66,Lulu,,
0,7768681,B8323,Salalah,Central Market,-3.78,Lulu,,
0,5489685,B328423,Ashkara,Central Market,-2.8,Lulu,,
0,1350815,B23823,Suhar,Delivered,-5.94,Lulu,yes,
0,8232307,B8323,Suhar,Delivered,-8.92,Lulu,yes,
0,3009352,B8323,Ashkara,Central Market,-2.78,Lulu,,
0,1597511,B23823,Ashkara,Delivered,-6.1,Lulu,yes,
0,8545757,B23823,Salalah,Central Market,-0.53,Lulu,,
0,3588377,B384211,Duqum,Delivered,-8.03,Nesto,yes,
0,5587193,B23823,Salalah,Delivered,-2.61,Nesto,yes,
0,4870701,B8323,Duqum,Central Market,-5.63,Lulu,,
0,6545018,B23823,Suhar,Central Market,-0.02,Lulu,,
0,3161393,B23823,Ashkara,Delivered,-9.28,Lulu,yes,
0,6167877,B328423,Ashkara,First Truck,-1.72,Lulu,,
0,7020567,B23823,Ashkara,Central Market,-9.61,Lulu,,
0,5440315,B123123,Duqum,Delivered,-0.5,Nesto,yes,
0,5721749,B8323,Ashkara,Central Market,-8.67,Nesto,,
0,9760288,B8323,Suhar,Delivered,-7.47,Nesto,yes,
0,6601814,B8323,Ashkara,Delivered,-8.96,Lulu,yes,
0,7225887,B23823,Duqum,Central Market,-0.74,Lulu,,
0,7619484,B123123,Duqum,Central Market,-9.45,Nesto,,
0,9458540,B123123,Salalah,Delivered,-4.99,Lulu,yes,
0,5229514,B123123,Duqum,Central Market,-0.43,Lulu,,
0,2180052,B23823,Ashkara,Central Market,-1.11,Faiha,,
0,6883114,B123123,Duqum,Delivered,-8.97,Nesto,yes,
0,4953204,B123123,Ashkara,Delivered,-1.78,Lulu,yes,
0,8999179,B123123,Duqum,Delivered,-6.56,Nesto,yes,
0,5103169,B23823,Duqum,Central Market,-8.46,Lulu,,
0,3755713,B23823,Salalah,Central Market,-1.33,Lulu,,
0,4071131,B123123,Suhar,Central Market,-7.37,Nesto,,
0,8742510,B3823,Duqum,Central Market,-7.66,Lulu,,
0,5493012,B123123,Suhar,Central Market,-9.14,Lulu,,
0,3797088,B8323,Ashkara,On Route,-1.85,Nesto,,
0,1520671,B384211,Salalah,First Truck,-1.58,Lulu,,
0,6026905,B23823,Duqum,Central Market,-9.74,Lulu,,
0,8414400,B8323,Duqum,Delivered,-8.97,Nesto,yes,
0,4990518,B8323,Duqum,Central Market,-8.96,Nesto,,
0,6519245,B123123,Ashkara,Central Market,-6.67,Nesto,,
0,1497591,B23823,Suhar,Delivered,-8.16,Lulu,yes,
0,7321511,B384211,Salalah,Central Market,-9.58,Lulu,,
0,3002440,B23823,Salalah,Central Market,-1.05,Nesto,,
0,2174601,B23823,Duqum,Delivered,-7.41,Lulu,yes,
0,5230287,B23823,Duqum,Delivered,-5.06,Nesto,yes,
0,1685688,B8323,Salalah,Delivered,-0.23,Lulu,yes,
0,3484618,B328423,Duqum,Central Market,-4.45,Lulu,,
0,2081646,B8323,Ashkara,Delivered,-6.45,Lulu,yes,
0,4976208,B384211,Duqum,Delivered,-0.2,Lulu,yes,
0,1865119,B23823,Suhar,On Route,-2.65,Lulu,,
0,6149007,B23823,Muscat,Delivered,-0.17,Lulu,yes,
0,5031320,B384211,Salalah,Delivered,-3.79,Lulu,yes,
0,6763807,B384211,Ashkara,Central Market,-0.77,Lulu,,
0,6729076,B8323,Suhar,Central Market,-0.34,Lulu,,
0,3447968,B23823,Suhar,Central Market,-5.21,Nesto,,
0,8976097,B8323,Duqum,Central Market,-9.07,Nesto,,
0,3977646,B23823,Duqum,Central Market,-4.99,Lulu,,
0,4696158,B8323,Suhar,Delivered,-2.17,Faiha,yes,
0,4665623,B23823,Suhar,Delivered,-0.63,Nesto,yes,
0,7418749,B123123,Sur,Central Market,-3.7,Lulu,,
0,5435545,B8323,Suhar,Delivered,-7.49,Nesto,yes,
0,6010342,B123123,Ashkara,Central Market,-0.54,Lulu,,
0,7652146,B23823,Duqum,Delivered,-1.17,Nesto,yes,
0,9675065,B8323,Duqum,Central Market,-9.96,Nesto,,
0,4241238,B8323,Suhar,Delivered,-8.31,Nesto,yes,
0,1703798,B8323,Ashkara,Delivered,-9.74,Lulu,yes,
0,1307135,B8323,Ashkara,Central Market,-5.84,Lulu,,
0,8141406,B3823,Duqum,Central Market,-2.23,Nesto,,
0,7243799,B23823,Duqum,Delivered,-5.04,Lulu,yes,
0,5812403,B123123,Salalah,Delivered,-0.84,Lulu,yes,
0,6218846,B8323,Duqum,Central Market,-0.33,Nesto,,
0,7859555,B8323,Salalah,Central Market,-0.04,Nesto,,
0,1898981,B23823,Ashkara,Central Market,-4.08,Nesto,,
0,9456995,B8323,Ashkara,Delivered,-9.5,Nesto,yes,
0,6985680,B8323,Duqum,Central Market,-2.8,Nesto,,
0,1554654,B123123,Suhar,Delivered,-4.81,Lulu,yes,
0,3443463,B23823,Salalah,Delivered,-4.42,Lulu,yes,
0,5097530,B8323,Ashkara,Delivered,-5.74,Nesto,yes,
0,2666401,B23823,Suhar,Delivered,-0.81,Lulu,yes,
0,6325468,B23823,Duqum,Central Market,-1.72,Lulu,,
0,9841543,B8323,Ashkara,Delivered,-3.31,Faiha,yes,
0,5716876,B23823,Salalah,Central Market,-4.46,Lulu,,
0,9713506,B3823,Suhar,Central Market,-9.85,Lulu,,
0,6303929,B8323,Duqum,Central Market,-8.89,Lulu,,
0,8573374,B123123,Duqum,Delivered,-9.46,Nesto,yes,
0,3122282,B123123,Duqum,Central Market,-8.94,Nesto,,
0,9331898,B23823,Salalah,Delivered,-7.96,Nesto,yes,
0,8892566,B8323,Salalah,Delivered,-2.53,Nesto,yes,
0,3133153,B8323,Duqum,Delivered,-9.39,Lulu,yes,
0,8709140,B3823,Suhar,Delivered,-0.26,Nesto,yes,
0,3329025,B8323,Ashkara,Delivered,-8.05,Lulu,yes,
0,1002106,B3823,Ashkara,Central Market,-5.36,Lulu,,
